Name,Date of Birth,Nationality,Role,Sex,Discipline 1,Discipline 2,Date of Infraction,Sanction,Ineligibility until,Period of Disqualification of results,Lifetime Ban?,Infraction Type,ADRV Rules,ADRV Notes,Description
 Nawaf Ahmed AL-YAMI,01/07/1992,KSA,athlete,M,High Jump,Jumps,06/02/2016,"4 years ineligibility",29/02/2020,Since 06-02-2016,No,Doping,"Presence,Use",Amphetamine,"In competition test,  Federation Cup , Qatif, RSA"
 Mariem ALAOUI SELSOULI,08/07/1984,MAR,athlete,F,1500m,"Middle Distance (800m-1500m)",06/07/2012,"8 years ineligibility",24/07/2020,Since 06-07-2012,No,Doping,"Presence,Use",Furosemide,"In competition test,  Meeting Areva ,Paris-St-Denis, FRA"
 Mohammad ALI,01/01/1986,IRQ,athlete,M,,"Sprints (400m or less)",10/10/2015,"4 years ineligibility",14/02/2020,Since 14-02-2013,No,Doping,"Presence,Use",Metandienone,
 Toshali ALIKULOV,12/07/1999,KAZ,athlete,M,,"Long Distance (3000m+)",05/05/2018,"4 years ineligibility",11/06/2022,Since 05-05-2018,No,Doping,"Presence,Use",Meldonium,"In competition test, Kazakhstan Junior Championships , Shymkent,"
 Cristobel ALMUDI CID,02/03/1979,ESP,athlete,M,Hammer,Throws,14/05/2016,"4 years ineligibility",12/07/2020,Since 14-05-2016,No,Doping,"Presence,Use","Stanozolol & Nandrolone metabolites","In competition test  CampeonatoEspana Veteranos  Madrid, ESP"
 Mukhlid ALOTAIBI,20/06/1976,KSA,athlete,M,5000m,"Long Distance (3000m+)",19/07/2016,"4 years ineligibility",19/10/2020,Since 19-07-2016,No,Doping,"Presence,Use, Evasion,Refusa","CERA, Evading, Refusing or Failing to Submit to Sample","IAAF Rule 32.2. (c)  Evading sample collection, Ifrane, MAR"
 Monira ALSALEH,18/05/1985,SYR,athlete,F,200m,"Sprints (400m or less)",26/02/2010,"Lifetime ban (2nd ADRV)",,Since 26-02-10,Yes,Doping,"Presence,Use",Stanozolol and Metenolone,"In competition test, 'Asian IndoorChampionships', Tehran IRI"
 Hicham AMICHE,05/06/1991,ALG,athlete,M,,"Middle Distance (800m-1500m)",13/05/2018,"2 years ineligibility",13/11/2020,Since 13.05.18,No,Doping,"Presence,Use",Tamoxifen,"In competition test, Meeting elite de Montgeron, Essone, FRA"
 Anis ANANENKO,29/11/1985,BLR,athlete,M,400m,"Sprints (400m or less)",08/08/2012,,,"From 08.08.12 to 27.05.15",No,Doping,"Presence,Use","Dehydrochloromethyltestos terone","In competition test, XXX Olympic Games, London, GBR"
 Jeromy ANDREAS,28/02/1992,RSA,athlete,M,,"Long Distance (3000m+)",08/09/2018,"4 years ineligibility",29/10/2022,Since 08-09-2018,No,Doping,"Presence,Use",1-Testosterone,
 Andrian ANDREEV,24/07/1977,BUL,athlete,M,Hammer,Throws,27/02/2008,"Lifetime ban (2nd ADRV)",,Since 27-02-2008,Yes,Doping,"Presence,Use",Metenolone,"Out of competition testing by the Bulgarian Athletic Federation"
 Adil ANNANI,30/06/1980,MAR,athlete,M,Marathon,"Long Distance (3000m+)",04/11/2011,"4 years ineligibility",20/06/2020,Since 04-11-2011,No,Doping,Use,Athlete Biological Passport,Athlete Biological Passport Case
 Luis Paolo ANTUNES,28/11/1980,BRA,athlete,M,Race Walk,"Long Distance (3000m+)",27/09/2015,"8 years ineligibility",26/09/2023,Since 27.09.15,No,Doping,"Presence,Use",Stanozolol,"In competition test,  Maraton Internacional SESCPR , Foz do"
 Reneilwe APHANE,24/08/1990,RSA,athlete,M,Triple Jump,Jumps,31/01/2018,"3 years and 6 months",27/08/2021,Since 31.01.18,No,Doping,"Presence,Use","Dehydrochloromethyltestos terone, Clomiphene,","Out-of-competition test, Soshanguve, RSA"
 Karthik ARUMUGAM,02/06/1992,IND,athlete,M,Long Jump,Jumps,30/12/2017,"2 years ineligibility",03/04/2020,Since 30.12.17,No,Doping,"Presence,Use",Methylhexaneamine,"In competition test,   66th All India Police Athletics Championship,"
 Ali ARZHANGNEZHAD,07/01/1999,IRI,athlete,M,,"Sprints (400m or less)",11/01/2018,"4 years ineligibility",12/03/2022,Since 11-01-2018,No,Doping,"Presence,Use",Stanozolol,In competition test National indoor athletics championships Tehran IRN,  
 Veysi ASLAN,23/02/1984,TUR,athlete,M,,"Long Distance (3000m+)",09/10/2016,"8 years ineligibility (2nd",18/06/2025,From 09.10.16,No,Doping,"Presence,Use",EPO,"In competition, in    International Darica Half Marathon , Darica, TUR"
 Anouar ASSILA,01/01/1983,FRA,athlete,M,,"Long Distance(3000m+)",26/10/2014,"4 years ineligibility",18/09/2021,"On 26.10.14 and 20.11.16",No,Doping,Use,Athlete Biological Passport,Athlete Biological Passport Case
 Roman AVRAMENKO,23/03/1988,RUS,athlete,M,Javelin,Throws,30/07/2015,"8 years ineligibility (2nd",29/08/2023,Since 30.07.15,No,Doping,"Presence,Use","Dehydrochloromethyltestos terone","Out-of competition test, Kirovske"
 Mazlum AYDEMIR,19/07/1983,TUR,athlete,M,,"Long Distance (3000m+)",29/08/2015,"A life-time ineligibility",,"Since 29-08-2015 to 20-02-17",Yes,Doping,"Presence,Use",Erythropoietin,"In competition test, track & field 1st league final , Cankiri, TUR & '60th"
 Surreya AYHAN-KOP,06/09/1978,TUR,athlete,F,1500m,"Middle Distance (800m-1500m)",08/09/2007,"Lifetime ban (2nd ADRV)",,Since 08-09-07,Yes,Doping,"Presence,Use",Stanozolol,Out of competition
 Henry AZIKE,07/01/1989,NGR,athlete,M,100m,Sprints 400m or less,05/12/2012,Lifetime ban 2nd ADRV,,Since 05-12-12,Yes,Doping,"Presence,Use",Metenolone,Out of competition test Lagos NGR
 Jalili BAHRAM,18/06/1994,SWE,athlete,M,,Combined Events,19/10/2017,"2 years ineligibility",19/03/2020,Since 19-10-17,No,Doping,"Presence,Use",Androstadiene,"Out-of-competition test, Stockholm,SWE"
 BAKER Sarkan,30/01/1983,IRQ,athlete,M,,"Long Distance (3000m+)",25/05/2018,"4 years ineligibility",11/12/2022,Since 25-05-18,No,Doping,"Presence,Use",Meldonium,"Out of competition, Baghdad, IRQ"
 Sergey BAKULIN,13/11/1986,RUS,athlete,M,Race Walk,"Long Distance (3000m+)",20/05/2018,"8 years ineligibility",02/04/2027,Since 20.05.18,No,Doping,"Presence,Use",Athlete Biological Passport,"IAAF Rule 32.2 (b) Athlete Biological Passport Case"
 Zivile BALCIUNAITE,03/04/1979,LTU,athlete,F,Road Running,"Long Distance (3000m+)",15/04/2016,"8 years ineligibility",13/05/2024,Since 15.4.16,No,Doping,"Presence,Use",Meldonium,"Out of competition test, Palanga LTU"
 Musaeb Abdulrahman BALLA,19/03/1989,QAT,athlete,M,,"Long Distance (3000m+)",20/06/2016,"4 years ineligibility",11/12/2020,,No,Doping,Possession,Possession of a Prohibited Substance or a Prohibited,IAAF Rule 32.2. (f) - Possession,
 Roberto BARBI,25/03/1965,ITA,athlete,M,Road Running,"Long Distance (3000m+)",20/07/2008,"8 years ineligibility",28/07/2047,Since 20.07.2008,No,Doping,"Presence,Use,Violation of","Ephedrine & EPO, Participation During",In competition test Mezza Maratona Mende FRA,
Christian BARCHI,04/03/1989,ITA,athlete,M,,"Long Distance (3000m+)",03/03/2019,"4 years and 2 months",17/06/2023,Since 03.03.19,No,Doping,"Presence,Use,Violation of","Clenbuterol, Exogenous Steroids after IRMS",In competition test, Granfondo Citta di Ancona, Ancona, ITA,
BARNES William,17/03/1994,PUR,athlete,M,,,15/06/2016,"4 years ineligibility",22/11/2020,Since 15/06/16,No,Doping,"Presence,Use",Boldenone,"Out of competition, Salinas, PUR" 
Alexey BARTSAYKIN,22/03/1989,RUS,athlete,M,Race Walk,"Long Distance (3000m+)",01/01/2012,"4 years ineligibility",03/07/2021,From 09.09.12,No,Doping,Use,Athlete Biological Passport,"IAAF rule 32.2.b - Use or Attempted Use by an Athlete of a Prohibited"
Francesco Antonello BASSANO,21/07/1972,ITA,athlete,M,,"Long Distance (3000m+)",18/03/2017,"8 years ineligibility",02/05/2025,From 18.03.17,No,Doping,"Presence,Use, Violation of","Norandrosterone,Exogenous Steroids, EPO,","In competition test, Maratona La 6 ore Della Reggia , Caserta, ITA"
 Said BELHARIZI,01/09/1974,FRA,athlete,M,,"Long Distance (3000m+)",23/10/2016,"4 years ineligibility",03/08/2020,Since 23.10.16,No,Doping,"Presence,Use",Cocaine,"In competition test, Marathon des Villages , Lege Cap Ferret, FRA"
 Kenta BELL,16/03/1977,AFG,"athlete support",M,,"Athlete Support Personnel",01/07/2015,Lifetime Ban,,NA,Yes,Doping,"Possession,Trafficking,Admi","Administration, Trafficking, Possession and Complicity","Administration (IAAF Rule 32.2.h) -Trafficking (IAAF Rule 32.2.g),"
 Tatyana BELOBORODOVA (LYSENKO),,RUS,athlete,F,Hammer,Throws,,"8 years ineligibility",01/07/2024,"From 16.07.12 to 02.07.16",No,Non-Doping,"Presence,Use","Dehydrochlormethyltestosterone; Use","(Retesting) In competition test, XXX Olympic Games, London, GBR;"
 Yassine BENSGHIR,03/01/1983,MAR,athlete,M,1500m,"Middle Distance(800m-1500m)",07/06/2014,"4 years ineligibility",11/04/2020,Since 07.06.14,No,Doping,Use,Athlete Biological Passport,Athlete Biological Passport Case
 Anna BERGHII,19/02/1993,MDA,athlete,F,,"Sprints (400m or less)",03/02/2018,"4 years ineligibility",13/02/2022,Since 03.02.18,No,Doping,"Evasion,Refusal and or Failure",Refusal,IAAF Rule 32.2 (c) Refusal
 Brtukan Adeba BERIHUN,01/01/1984,ETH,athlete,F,Long Jump,Jumps,13/11/2016,8 years ineligibility plus,21/06/2029,Since 13.11.16,No,Doping,"Presence,Use, Evasion,Refusa","Exogenous Steroids, Prednisone & Prednisolone","In competition test,  Al Mouj Muscat Marathon , Muscat, OMA"
 Kipyegon BETT,01/02/1998,KEN,athlete,M,800m,"Middle Distance (800m-1500m)",24/02/2018,"4 years ineligibility",14/08/2022,Since 24.02.18,No,Doping,"Presence,Use, Evasion,Refusa","Evading, Refusing or Failing to Submit to Sample","Out-of-competition test, Kericho, KEN"
 Luisa BETTI,27/08/1987,ITA,athlete,F,,"Long Distance (3000m+)",06/10/2018,"18 months ineligibility",05/04/2020,Since 06.10.18,No,Doping,"Presence,Use",Betamethasone,"In competition test,  100km delle Alpi , Foglizzo, ITA" 
 Cody BIDLOW,08/11/1991,USA,athlete,M,100m,"Sprints (400m or less)",01/01/2013,"4 years ineligibility",08/08/2020,Since 01.01.13,No,Doping,"Use,Possessio n","Possession of a Prohibited Substance or a Prohibited","IAAF Rule 32.2. (f) - Possession; IAAF Rule 32.2. (b) - Use of a prohibited"
 BII Daniel Kipchirchir,11/10/1991,KEN,athlete,M,,Long Distance (3000m+),03/12/2017,4 years ineligibility,19/06/2022,Since 03-12-17,No,Doping,"Presence,Use",Norandrosterone,"In competition test, 'Jieyang International Half Marathon', Jieyang, CHN"
 Salome Jerono BIWOTT,08/11/1982,KEN,athlete,F,,"Long Distance (3000m+)",07/04/2019,"8 years ineligibility",04/06/2027,Since 07.04.19,No,Doping,"Presence,Use",Norandrosterone,"In competition test, 25th Sao Paulo international Marathon, Sao Paulo,"
 Joanna BLAIR,01/03/1986,GBR,athlete,F,Javelin,Throws,24/06/2017,4 years ineligibility,13/07/2021,Since 24.09.17,No,Doping,"Presence,Use",Metandienone,"Out-of-competition test, Lille, FRA"
 Lyudmila BLONSKA,09/11/1977,UKR,athlete,F,Heptathlon,Combined Events,16/08/2008,Lifetime ban (2nd ADRV),,Since 16-08-08,Yes,Doping,"Presence,Use",Methyltestosterone,"In competition test, 2008 Olympic Games, Beijing, China"
 Anton BODNAR,12/04/1992,KAZ,athlete,M,High Jump,Jumps,21/05/2019,4 years ineligibility,01/07/2023,Since 21.05.19,No,Doping,"Presence,Use",Metandienone,"OOCT, KAZ"
 Valeriy BORCHIN,11/09/1986,RUS,athlete,M,20km Walk,Long Distance (3000m+),15/10/2012,8 years ineligibility (2nd ADRV),14/10/2020,"From 14.08.09 to 15.10.12",No,Doping,Use,Athlete Biological Passport,Athlete Biological Passport Case
 Giorgio Maria BORTOLOZZI,04/01/1937,ITA,athlete,M,Long Jump,Jumps,28/02/2016,4 years ineligibility,20/03/2020,Since 28.02.16,No,Doping,"Presence,Use",Exogenous steroids,"In competition test,  Campionati Italiani Individuali/Societe Indoor Master, Ancona ITA"
 Veronika BROSLAVSKAYA,09/11/1999,KAZ,athlete,F,,Sprints (400m or less),29/06/2018,4 years ineligibility,30/07/2022,Since 29.06.18,No,Doping,"Presence,Use",Meldonium,"In competition test,  XXVIII G.Kosanov Memorial , Almaty, KAZ"
 Anna BULGAKOVA,,RUS,athlete,F,Hammer,Throws,30/06/2013,2 years ineligibility,28/03/2021,"From 30.06.13 to 15.08.15",No,Doping,Use,Use or Attempted Use by an Athlete of a Prohibited Substance or a Prohibited Method,McLaren evidence
 Gamze BULUT,03/08/1992,TUR,athlete,F,1500m,Middle Distance (800m-1500m),20/07/2011,4 years ineligibility,29/05/2020,Since 20.7.11,No,Doping,Use,Athlete Biological Passport,Athlete Biological Passport Case
 David BURRELL,05/04/1964,GBR,athlete,M,,Throws,23/08/2017,4 years ineligibility,17/10/2021,Since 23.08.17,No,Doping,"Evasion,Refusa l and or Failure to Submit","Evading, Refusing or Failing to Submit to Sample Collection","Art. 2.3 ADR - Evading, Refusing or Failing to Submit to Sample Collection"
 Vitaliy BUTRYM,10/01/1991,UKR,athlete,M,,Sprints (400m or less),20/02/2019,4 years ineligibility,20/05/2023,Since 20.02.19,No,Doping,"Presence,Use",EPO,"Out-of-competition test, UKR"
 Monica CAJAMARCA,22/03/1984,ECU,athlete,F,,Long Distance (3000m+),10/04/2016,4 years ineligibility,11/05/2020,10.04.16,No,Doping,"Presence,Use",Norandrosterone,"In competition, in    Vienna City Marathon , Vienne, AUT"
 Asli Cakir ALPTEKIN,20/08/1985,TUR,athlete,F,Cross Country,Long Distance (3000m+),02/02/2017,8 years ineligibility,27/04/2025,Since 02.02.17,No,Doping,"Presence,Use",Clomiphene,"In competition test, Cross internacional das Amendoeiras em Flor , Albufeira, POR"
 Tania CALDARELLA,03/11/1987,ITA,athlete,F,,Long Distance (3000m+),17/03/2019,4 years ineligibility,16/03/2023,Since 17.03.19,No,Doping,"Presence,Use",Betamethasone,"In competition test, Trofeo Avis Rosolini, Siracusa, ITA"
 CALVO MIRA VIn competition testor Jose,11/09/1979,ESP,athlete,M,,Long Distance (3000m+),13/03/2016,4 years ineligibility,18/08/2020,Since 13-03-16,No,Doping,"Presence,Use",Mesterolone & rhEPO,"In competition test, RFEA Campeonato de Espana Campo a Traves', Calatayud, ESP"
 Narin CANBEK,22/09/1987,TUR,athlete,M,,,25/07/2015,8 years ineligibility,24/07/2023,27.07.15,No,Doping,"Presence,Use",Prednisolone,"In competition test , Walking Race 2nd Stage"
 Zhiwei CAO,25/01/2001,CHN,athlete,M,,Middle Distance (800m-1500m),28/08/2018,2 years ineligibility,27/08/2020,Since 28.08.18,No,Doping,"Presence,Use",LGD-4033 (Ligandrol),"In competition test, 14th Provincial Games of Heilongjiang Province, CHN"
 Pino CAPANNA,16/06/1956,ITA,athlete,M,,Long Distance (3000m+),12/05/2019,4 months ineligibility,05/10/2019,Since 12.05.19,No,Doping,"Presence,Use",Hydrochlorothiazide,"In competitioon test, Maratonina del Mare, Pescara, ITA"
 Maurizio CARTA,,ITA,athlete,M,,,05/10/2016,4 years ineligibility,05/10/2020,06.10.16,No,Doping,"Evasion,Refusa l and or Failure to Submit",Refusal,"Out competition test, Kailua-Kona, USA"
 VIn competition testor Manuel CASTRO MATEO,07/12/1980,ESP,athlete,M,Race Walk,Long Distance (3000m+),17/12/2017,4 years ineligibility,16/07/2022,Since 17.12.17,No,Doping,"Presence,Use",Clenbuterol & Metandienone,"In competition test,  Campeonato de Espana Master de Marcha , Getafe, ESP"
 Thomas CAWLEY,,USA,athlete,M,800m,Middle Distance (800m-1500m),01/07/2011,4 years ineligibility,15/06/2020,Since July 2011,No,Doping,"Use,Possessio n","Possession of a Prohibited Substance or a Prohibited Method, Use or Attempted Use by an Athlete of a Prohibited Substance or a Prohibited Method",IAAF Rule 32.2. (f) - Possession; IAAF Rule 32.2. (b)   - Use of a prohibited substance
 Recep CELIK,10/06/1983,TUR,athlete,M,Race Walk,Long Distance (3000m+),,8 years ineligibility,26/09/2024,"From 27.08.11 to 12.05.12",No,Doping,Use,Athlete Biological Passport,IAAF rule 32.2.b - Use or Attempted Use by an Athlete of a Prohibited Substance or a Prohibited Method
 Monika CHAUDHARY,,IND,athlete,F,,Middle Distance (800m-1500m),,4 years ineligibility,09/09/2022,Since 22.08.18,No,Doping,"Presence,Use",EPO,"In competition test, 'Selection trials' in New Delhi, IND"
 Mouhcine CHEAOURI,15/01/1989,MAR,athlete,M,Pole Vault,Jumps,30/04/2016,4 years ineligibility,09/06/2020,Since 30.04.16,No,Doping,"Presence,Use",Stanozolol,"In competition test,  4eme Meeting Elite , Fes, MAR"
 CHEBOLEI Daniel Rotich,10/09/1997,KEN,athlete,M,,Long Distance (3000m+),01/04/2018,4 years ineligibility,19/06/2022,Since 01-04-18,No,Non-Doping,"Presence,Use",Salbutamol,"In competition test, 13th international Marathon Megas Alexandros, Thessaloniki, GRE"
 Isaac Kibet CHEBUYO,,KEN,athlete,M,,Long Distance (3000m+),,2 years ineligibility,11/02/2020,Since 21.10.17,No,Non-Doping,"Presence,Use",Prednisolone & Prednisone,"In competition test, Nyahururu, KEN & 'Baringo Half-Marathon, Baringo, KEN"
 Viktor CHEGIN,03/02/1962,RUS,athlete support personn el,M,,Athlete Support Personnel,,Lifetime ban as from 17/02/2016,,NA,Yes,Doping,Administration,Administration or Attempted Administration to any Athlete of a Prohibited Substance/ or Method & Complicity,Administration of a prohibited substance (IAAF Rule 32.2.h); Complicity (IAAF Rule 32.2.i)
 Absene daba CHEMEDA,23/01/1998,ETH,athlete,F,,Long Distance (3000m+),05/11/2017,4 years ineligibility,06/08/2022,Since 05.11.17,No,Doping,"Presence,Use",Higenamine,"In competition test, Pizhou Half Marathon, in Pizhou, CHN"
 Sarah CHEPCHIRCHIR,27/07/1984,KEN,athlete,F,,"Long Distance (3000m+)",11/04/2018,"4 years ineligibility",05/02/2023,Since 11.04.18,No,Doping,Use,Athlete Biological Passport,Athlete Biological Passport Case
 Emmy CHEPKIRUI,18/09/1988,KEN,athlete,F,,Long Distance (3000m+),04/11/2018,2 years ineligibility,10/12/2020,Since 04.11.18,No,Doping,"Presence,Use",Norandrosterone,"In competition test, Baringo Half- Marathon, Baringo, KEN"
 Shieys CHEPKOSGEI,28/12/1990,KEN,athlete,F,,Long Distance (3000m+),08/10/2016,4 years ineligibility,25/12/2020,From 08.10.16,No,Doping,"Presence,Use",Exogenous Steroids,"In competition test, Hari Sukan Negara 21km Run, Kuala Lampur, MAS"
 Tatyana CHERNOVA,29/01/1988,RUS,athlete,F,,Combined Events,30/06/2013,,,"From 21.07.15 to 05.02.16",No,Doping,Use,Use,McLaren evidence
 Denis CHERNYAEV,02/05/1996,RUS,athlete,M,100m Hurdles,Sprints (400m or less),25/11/2017,4 years ineligibility,19/02/2022,Since 25.11.17,No,Doping,"Evasion,Refusa l and or Failure to Submit",Refusal,"Art. 2.3 ADR - Evading, Refusing or Failing to Submit to Sample Collection"
 Jordan CHIPANGAMA,12/11/1988,ZAM,athlete,M,,Long Distance (3000m+),17/06/2017,4 years ineligibility,14/08/2021,Since 17.06.17,No,Doping,"Presence,Use",Meldonium,"In competition test, 'Grandma s Marathon', Duluth, USA"
 Rodica CHIRITA,26/10/1976,ROU,athlete,F,Road Running,Long Distance (3000m+),08/12/2005,Lifetime ban,,Since 08.12.15,Yes,Doping,"Presence,Use",Stanozolol,"Out of competition test, Bucharest, ROU"
 Satyam CHOUDHARY,31/10/1999,IND,athlete,M,Shot Put,Throws,10/01/2019,2 years ineligibility,09/05/2021,Since 10.01.19,No,Doping,"Presence,Use",Clomiphene,"In competition test, Khelo India Youth Games, Pune, IND"
 Rouven CHRIST,12/04/1988,GER,athlete,M,,Sprints (400m or less),17/02/2016,4 years ineligibility,11/03/2020,Since 17.02.16,No,Doping,"Presence,Use","Dehydrochlormethyltestost erone, Stanozolol, Clenbuterol","Out of competition test, Saarbrucken, GER"
 Vivian CHUKWUEMEKA,04/05/1975,NGR,athlete,F,Shot Put,Throws,21/06/2012,Lifetime ban as from 12/07/2012,,Since 21.06.12,Yes,Doping,"Presence,Use",Stanozolol,"In competition test, AFN Cross River State National Championship, Calabar, NGR"
 Gaetano CIVIELLO,,ITA,athlete,M,Road Running,Long Distance (3000m+),01/01/2007,12 years ineligibility,19/04/2022,N/A,No,Doping,"Use,Possessio n,Trafficking","Athlete Biological Passport, Possession of a Prohibited Substance or a Prohibited Method, Trafficking or Attempted Trafficking in any Prohibted Substance or Prohibited Method","Use/attempted use (IAAF Rule 32.2.b) Possession (IAAF Rule 32.2.f) Trafficking (IAAF Rule 32.2.g)"
 Andre Filipe COELHO RANGEL,23/03/2000,POR,athlete,M,Long Jump,Jumps,23/02/2019,No significant fault or negligence,,"Since 23.02.19 to 21.10.19",No,Doping,"Presence,Use",Methylphenidate,"In competition test, Campeonato Nacional de Juniores em Pista Coberta, Braga, POR"
 Jessica COSBYTORUGA,31/05/1982,USA,athlete,F,Hammer,Throws,12/09/2016,6 years ineligibility,11/09/2022,Since 12.9.16,No,Doping,"Presence,Use",Exogenous Steroids,"Out of competition test, Euless USA"
 Simone DA SILVA,12/09/1984,BRA,athlete,F,,Long Distance (3000m+),09/06/2017,30 years ineligibility,09/06/2047,Since 09.06.17,No,Doping,"Presence,Use",EPO,"In competition test,  XXXVI trofeu brasil Caixa de atletismo , Sao Bernardo do Campo, BRA"
 Naif Yahya DAAK,05/02/1992,KSA,athlete,M,,Long Distance (3000m+),06/02/2016,4 years ineligibility,29/02/2020,Since 06.02.16,No,Doping,"Presence,Use",dEPO,"In competition test,  Federation Cup , Qatif, RSA"
 Abdellah DACHA,26/01/1992,MAR,athlete,M,2000m SC,Long Distance (3000m+),14/07/2016,4 years ineligibility,08/08/2020,Since 14.07.16,No,Doping,"Presence,Use",EPO,"Out of competition test, Destelbergen, BEL"
 Silvia DANEKOVA,07/02/1983,BUL,athlete,F,3000m SC,Long Distance (3000m+),01/08/2016,4 years ineligibility,12/08/2020,Since 01/08/2016,No,Doping,"Presence,Use",CERA,"Out-of-competition test, Rio de Janeiro, BRA"
 Royce DATES,12/05/1992,USA,athlete,M,Long Jump,Jumps,01/07/2015,4 years ineligibility,11/07/2021,From 01.07.15,No,Doping,"Possession,Tr afficking,Admi nistration,Com plicity","Administration, Trafficking, Possession, Complicity",Administration (IAAF Rule 32.2.h) Trafficking (IAAF Rule 32.2.g) Possession (IAAF Rule 32.2.f Complicity (IAAF Rule 32.2.i)
 Eliya DAUDI SIDAME,26/06/1984,TAN,athlete,M,,Long Distance (3000m+),16/10/2016,4 years ineligibility,17/10/2020,Since 16.10.16,No,Doping,"Presence,Use",Norandrosterone,Trafficking (IAAF Rule 32.2.g)
 Todd DAVIS,21/03/1976,USA,athlete,M,Discus,Throws,13/07/2019,4 years ineligibility,01/10/2023,Since 13.07.19,No,Doping,"Evasion,Refusa l and or Failure to Submit",Refusal,"In competition test, USA Track & Field Masters Outdoor Championships, Ames, USA"
 Ali DAWOUD SEDAM,,QAT,athlete,M,,Long Distance (3000m+),16/10/2016,4 years ineligibility,17/10/2020,4 years ineligibility,No,Doping,"Presence,Use",Norandrosterone,Possession (IAAF Rule 32.2.f)
